City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
592,Waddan,LY,65.07,overcast clouds,29.1614,16.139,محل الشريف محمد العايب
594,Puerto Leguizamo,CO,69.67,broken clouds,-0.1934,-74.7819,la casona de juancho
599,Ajdabiya,LY,69.69,overcast clouds,30.7554,20.2263,Almadina Hotel
603,Rubiataba,BR,75.36,overcast clouds,-15.1644,-49.8033,Pousada dos anjos
605,Shakawe,BW,71.96,overcast clouds,-18.3667,21.85,Ditlhapi Guest House
607,Port Augusta,AU,68.7,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
609,Moyobamba,PE,65.28,overcast clouds,-6.05,-76.9667,Hospedaje Mariluna
610,Sao Joao Da Barra,BR,72.39,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
612,Hays,US,64.76,clear sky,30.0502,-98.0336,Sinya on Lone Man Creek
616,Nara,JP,67.37,clear sky,34.6851,135.8049,Guesthouse Nara Komachi
620,Maceio,BR,78.24,scattered clouds,-9.6658,-35.7353,Poutur Pousada
621,Sihora,IN,75.96,clear sky,23.4833,80.1167,Hotel Yash Raj Sihora
622,Iquique,CL,60.84,clear sky,-20.2208,-70.1431,Backpacker`s Hostel Iquique
623,Camacha,PT,67.42,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
625,Bako,ET,70.84,broken clouds,5.7833,36.5667,Goh Hotel
628,Soyo,AO,76.39,overcast clouds,-6.1349,12.3689,Hotel Mpampa
631,Chimbote,PE,62.28,broken clouds,-9.0853,-78.5783,Hotel Viera Chimbote
633,Sikonge,TZ,73.72,broken clouds,-5.6333,32.7667,Pretoria 2 Lodge
636,Tiarei,PF,71.62,heavy intensity rain,-17.5333,-149.3333,Le Rocher de Tahiti
637,Kabompo,ZM,71.15,broken clouds,-13.5927,24.2008,Big Tree
640,Toucheng,TW,77.14,overcast clouds,24.8592,121.8233,和風時尚VILLA會館
642,Resistencia,AR,72.05,light rain,-27.4606,-58.9839,Niyat Urban Hotel
645,Cotonou,BJ,78.64,overcast clouds,6.3654,2.4183,Novotel Cotonou Orisha
647,Pimentel,PE,63.14,broken clouds,-6.8367,-79.9342,Casona Del Muelle
649,Boffa,GN,73.51,overcast clouds,10.1667,-14.0333,Hôtel Niara Belly
650,Konongo,GH,71.04,broken clouds,6.6167,-1.2167,Alice Tee Hotel
652,Goalpara,IN,79.79,clear sky,26.1667,90.6167,Hotel Moon Moon
658,Pemba,MZ,72.3,few clouds,-12.974,40.5178,Guesthouse Samotina
662,Pithoragarh,IN,61.0,clear sky,29.5833,80.2167,Hipostel Pithoragarh (Cafe Morrison)
663,Acajutla,SV,79.05,few clouds,13.5928,-89.8275,asi es
664,La Mana,EC,79.9,overcast clouds,-0.9333,-79.2167,Hotel Somagg
666,Buritis,BR,70.0,clear sky,-15.6178,-46.4233,Hotel Rainha do Vale
