City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
311,Nhulunbuy,-12.2333,136.7667,92.01,55,40,12.66,AU,scattered clouds
312,Menongue,-14.6585,17.691,63.18,83,57,3.96,AO,broken clouds
313,Navoi,40.0844,65.3792,44.08,70,1,2.3,UZ,clear sky
314,Aasiaat,68.7098,-52.8699,22.62,96,100,10.6,GL,overcast clouds
315,Baker City,44.7749,-117.8344,54.64,78,1,5.75,US,clear sky
316,Norman Wells,65.282,-126.8329,23.04,86,90,3.44,CA,light snow
317,Helsinki,60.1695,24.9355,50.81,88,90,4.0,FI,overcast clouds
318,Mandurah,-32.55,115.7,70.16,46,5,9.51,AU,clear sky
319,Cairo,30.0626,31.2497,71.71,44,46,5.75,EG,mist
320,Te Anau,-45.4167,167.7167,66.63,55,8,3.33,NZ,clear sky
321,Polis,35.0367,32.4264,60.62,66,8,6.67,CY,clear sky
322,Kungurtug,50.5994,97.5228,39.2,65,87,0.94,RU,overcast clouds
323,Griffith,41.5284,-87.4237,55.51,96,90,3.44,US,mist
324,Yar-Sale,66.8333,70.8333,23.18,96,100,11.95,RU,light snow
325,Dolores,-36.3132,-57.6792,61.92,90,72,8.7,AR,light rain
326,Lavrentiya,65.5833,-171.0,17.28,88,100,9.55,RU,overcast clouds
327,Baracoa,20.3467,-74.4958,77.07,75,39,4.16,CU,scattered clouds
328,Bubaque,11.2833,-15.8333,79.32,75,92,12.71,GW,overcast clouds
329,Aguimes,27.9054,-15.4461,65.03,57,20,5.75,ES,few clouds
330,Glendive,47.1053,-104.7125,44.22,56,90,6.91,US,overcast clouds
331,Yurino,56.2942,46.3039,27.72,70,30,5.46,RU,scattered clouds
332,Hochheim,50.3667,10.45,42.21,90,8,2.42,DE,clear sky
333,Hami,42.8,93.45,57.49,26,3,0.22,CN,clear sky
334,Yatou,37.15,122.3833,65.88,46,71,5.19,CN,broken clouds
335,Henties Bay,-22.116,14.2845,58.86,92,4,5.75,NA,clear sky
336,Mbeya,-8.9,33.45,66.07,62,42,5.61,TZ,scattered clouds
337,Cuxhaven,53.8718,8.6909,45.97,78,34,15.75,DE,scattered clouds
338,Maarianhamina,60.0973,19.9348,48.06,93,0,10.36,AX,clear sky
339,Liverpool,53.4106,-2.9779,57.74,91,75,5.01,GB,moderate rain
340,Almeirim,-1.5233,-52.5817,74.61,87,0,2.71,BR,moderate rain
341,Messina,38.1933,15.5497,65.19,71,40,8.01,IT,scattered clouds
342,Bodden Town,19.2833,-81.25,82.99,84,100,4.0,KY,overcast clouds
343,Lagos,6.5833,3.75,77.32,93,99,1.66,NG,overcast clouds
344,Charyshskoye,51.3978,83.5598,47.43,63,100,6.49,RU,overcast clouds
345,Manavalakurichi,8.1333,77.3,80.69,69,94,2.26,IN,overcast clouds
346,Winnemucca,40.973,-117.7357,50.05,81,1,4.61,US,clear sky
